forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-13,OK,"",,Drew Edmondson,D,false,classic,0.1909,45.86,41.02,50.75
2018-10-13,OK,"",,Chris Powell,L,false,classic,0.0,1.83,0.46,3.6
2018-10-13,OR,"",,Kate Brown,D,true,classic,0.8902,51.94,46.67,57.13
2018-10-13,OR,"",,Knute Buehler,R,false,classic,0.1098,42.6,37.35,47.82
2018-10-13,OR,"",,Others,,false,classic,0.0,5.46,2.2,9.32
2018-10-13,PA,"",,Tom Wolf,D,true,classic,0.9901,56.95,52.68,61.21
2018-10-13,PA,"",,Scott Wagner,R,false,classic,0.0099,40.99,36.7,45.22
2018-10-13,PA,"",,Others,,false,classic,0.0,2.06,0.54,4.0
2018-10-13,RI,"",,Gina Raimondo,D,true,classic,0.9703,55.87,49.03,62.57
2018-10-13,RI,"",,Allan Fung,R,false,classic,0.0297,36.57,29.79,43.3
2018-10-13,RI,"",,Others,,false,classic,0.0,7.56,3.53,12.22
2018-10-13,SC,"",,Henry McMaster,R,true,classic,0.9632,56.02,51.82,60.22
2018-10-13,SC,"",,James Smith,D,false,classic,0.0368,43.98,39.78,48.18
2018-10-13,SD,"",,Kristi Noem,R,false,classic,0.8898,54.35,48.48,60.2
2018-10-13,SD,"",,Billie Sutton,D,false,classic,0.1102,43.45,37.59,49.3
2018-10-13,SD,"",,Kurt Evans,L,false,classic,0.0,2.21,0.61,4.26
2018-10-13,TN,"",,Bill Lee,R,false,classic,0.9699,54.07,48.93,59.18
2018-10-13,TN,"",,Karl Dean,D,false,classic,0.0301,39.74,34.58,44.87
2018-10-13,TN,"",,Others,,false,classic,0.0,6.19,2.65,10.29
2018-10-13,TX,"",,Greg Abbott,R,true,classic,0.9946,58.41,54.1,62.75
2018-10-13,TX,"",,Lupe Valdez,D,false,classic,0.0054,39.65,35.31,43.95
2018-10-13,TX,"",,Mark Tippetts,L,false,classic,0.0,1.93,0.5,3.8
2018-10-13,VT,"",,Phil Scott,R,true,classic,0.9562,53.45,47.86,58.93
2018-10-13,VT,"",,Christine Hallquist,D,false,classic,0.0438,39.74,34.21,45.2
2018-10-13,VT,"",,Others,,false,classic,0.0,6.81,3.04,11.21
2018-10-13,WI,"",,Tony Evers,D,false,classic,0.6104,49.36,44.21,54.51
2018-10-13,WI,"",,Scott Walker,R,true,classic,0.3896,47.24,42.1,52.39
2018-10-13,WI,"",,Others,,false,classic,0.0,3.4,1.12,6.2
